Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
319 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.290963039999
320 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.425520519999
321 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 0 0.33744626
322 51.9 63.0 -11.1 69.3 34.0 1 0.28209139
323 51.9 63.0 -11.1 66.15 27.0 1 0.798868159996
324 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.28751233
325 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.28166868
326 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 0.346100759998
327 48.8333333333 64.0 -15.1666666667 67.2 38.0 0 0.396423849998
328 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.254976239998
329 51.9 63.0 -11.1 50.4 -3.0 1 0.220334629998
330 51.9 63.0 -11.1 59.85 15.0 1 0.203100309998
331 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.306895879996
332 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 0 0.5308363
333 51.9 63.0 -11.1 63.0 21.0 0 0.721049909997
334 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.230251049998
335 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.204484859998
336 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.471104329998
337 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.13520827
338 53.0 68.4285714286 -15.4285714286 71.85 36.0 0 0.361725549999
339 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.237131759997
340 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 0 0.386332939997
341 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.601574689998
342 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.30843465
343 51.9 63.0 -11.1 66.15 27.0 1 0.368026169996
344 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.189506480001
345 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.197459259998
346 51.9 63.0 -11.1 59.85 15.0 1 0.287039729996
347 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.155513269998
348 51.9 63.0 -11.1 63.0 21.0 1 0.443055759999
349 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.189272619999
350 48.8333333333 64.0 -15.1666666667 64.0 31.0 1 0.377400349997
351 51.9 63.0 -11.1 56.7 9.0 1 0.199935179997
352 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.233980019999
353 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.217599169999
354 51.9 63.0 -11.1 56.7 9.0 1 0.187123749998
355 51.9 63.0 -11.1 69.3 34.0 1 0.129758319999
356 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.397799399998
357 51.9 63.0 -11.1 69.3 34.0 1 0.260970059997
358 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.234269529996
359 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 1 0.24507207
360 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.209682019999
361 51.9 63.0 -11.1 63.0 21.0 1 0.578498689996
362 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.270470909996
363 51.9 63.0 -11.1 50.4 -3.0 1 0.238948569997
364 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 1 0.338707899999
365 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.295303859995
366 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.21854098
367 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 1 0.384582229999
368 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.414785879999
369 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.60777952
370 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.259898879998
