Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
156 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.31654553
157 51.9 63.0 -11.1 51.9 -18.0 1 0.34486005
158 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.1620041
159 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.11627551
160 51.9 63.0 -11.1 41.52 -34.0 1 0.20179573
161 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.12643584
162 51.9 63.0 -11.1 62.28 -1.0 1 0.0952135699999
163 53.0 68.4285714286 -15.4285714286 53.0 -23.0 0 0.33680774
164 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.20080331
165 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.21371109
166 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.10277219
167 51.9 63.0 -11.1 41.52 -34.0 1 0.20954119
168 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.17266676
169 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.0919001599999
170 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.11929005
171 53.0 68.4285714286 -15.4285714286 47.7 -30.0 0 0.6850292
172 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.37665143
173 51.9 63.0 -11.1 51.9 -18.0 1 0.32371544
174 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.19736612
175 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.31572362
176 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.13730387
177 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.24566337
178 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.25346275
179 51.9 63.0 -11.1 57.09 -9.0 1 0.14433995
180 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 1.42630424
181 51.9 63.0 -11.1 57.09 -9.0 1 0.15599849
182 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.45541795
183 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.21255421
184 55.4 67.1666666667 -11.7666666667 49.86 -26.0 0 0.69601909
185 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.22507759
186 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.22752304
187 51.9 63.0 -11.1 46.71 -26.0 0 0.79035696
188 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.28375569
189 51.9 63.0 -11.1 54.495 -14.0 0 0.27215335
190 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.16024562
191 51.9 63.0 -11.1 49.305 -22.0 0 0.52561984
192 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.21281181
193 51.9 63.0 -11.1 57.09 -9.0 1 0.14724277
194 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.40215203
195 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.13474239
196 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.30716341
197 51.9 63.0 -11.1 49.305 -22.0 1 0.37605782
198 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.12180742
199 51.9 63.0 -11.1 51.9 -18.0 1 0.38663078
200 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.66291988
201 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.27237415
202 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.26463705
203 51.9 63.0 -11.1 57.09 -9.0 1 0.19787609
204 55.4 67.1666666667 -11.7666666667 52.63 -22.0 1 0.64642405
205 51.9 63.0 -11.1 54.495 -14.0 1 0.39372055
206 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.15691369
207 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.13443705
208 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.27299049
209 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.15284573
210 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.13712781
211 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.52452252
212 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.0970442
213 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.1309596
214 51.9 63.0 -11.1 62.28 -1.0 1 0.11412045
215 51.9 63.0 -11.1 41.52 -34.0 1 0.18353627
216 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.22264585
217 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.19441895
218 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.10949546
219 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.22197248
220 55.4 67.1666666667 -11.7666666667 52.63 -22.0 1 0.27293772
221 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.34860951
222 51.9 63.0 -11.1 49.305 -22.0 1 0.32633315
223 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.17205575
224 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.24678462
225 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.23696127
226 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.30805145
227 51.9 63.0 -11.1 62.28 -1.0 1 0.18419099
228 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.1626652
229 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 0 0.42744283
230 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.3790049
231 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.26669132
232 51.9 63.0 -11.1 62.28 -1.0 1 0.25734419
233 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.26935821
234 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.15303383
235 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.19139794
236 51.9 63.0 -11.1 49.305 -22.0 1 0.1703826
